Sr. no.,tweets,sentiment,classification
1,coronaviruscare el_pais Why am I not surprised about the elite privileges People with money and power can do anything it is the same protocol in every country in the world So what is new about that,neutral,opinion
2,Spain s el_pais reporting that a recent protocol in Madrid mandates that people with mild symptoms stay home amp only t,neutral,opinion
3,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
4,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
5,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
6,"Norway Sweden Denmark Scandinavian nations two thousand, nine hundred and six positive cases between the three six deaths so far Death rate two",neutral,reporting
7,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
8,The worst is definitely over in China All it took them was three months Will the worst be over in Europe in three months,neutral,opinion
9,Spain s el_pais reporting that a recent protocol in Madrid mandates that people with mild symptoms stay home amp only t,neutral,opinion
10,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
11,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
12,Spain s el_pais reporting that a recent protocol in Madrid mandates that people with mild symptoms stay home amp only t,neutral,opinion
13,Spain s el_pais reporting that a recent protocol in Madrid mandates that people with mild symptoms stay home amp only t,neutral,opinion
14,India Coronavirus positive cases in India reach one hundred two deaths have been reported,neutral,reporting
15,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
16,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
17,Flatten the curve If you wish to survive Flatten the curve If you look to thrive Flatten the curve To beat the flu Fl,neutral,opinion
18,WXY_WangXiangyu jones_active coronaviruscare Epic,neutral,opinion
19,GoonerPranay Tatiacha coronaviruscare and people get reinfected This virus has had a very dangerous reinfection where the second time around is worse More of the Communists doing a dog and pony show as my American friends say,anger,opinion
20,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
21,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
22,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
23,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
24,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
25,South Korea s aggressive Coronavirus testing has thrown up a scary fact Young people two thousand and twenty-nine yrs are the leading carr,neutral,reporting
26,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
27,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
28,The worldwide Coronavirus pandemic has wiped out more than sixteen trillion from global stock markets in less than a month,neutral,reporting
