,Country_name,Confirmed_cases,Dead_cases,Recovered_cases
0,China,81691,3276,72848
1,Italy,63928,6078,7432
2,United States,41641,505,187
3,Spain,33089,2206,3355
4,Germany,28798,116,422
5,Iran,23049,1812,8376
6,France,16689,674,2200
7,South Korea,8961,111,3166
8,Switzerland,8249,107,131
9,United Kingdom,6650,335,140
10,Netherlands,4797,213,0
11,Austria,3924,21,0
12,Belgium,3743,88,350
13,Norway,2570,10,0
14,Portugal,2060,23,14
15,Sweden,2038,25,16
16,Australia,1709,7,88
17,Brazil,1629,25,2
18,Denmark,1572,24,0
19,Malaysia,1518,14,159
20,Canada,1518,21,18
21,Israel,1238,1,37
22,Turkey,1236,30,0
23,Czech Republic,1236,1,6
24,Japan,1119,42,285
25,Ecuador,981,18,3
26,Ireland,906,4,5
27,Luxembourg,875,8,6
28,Pakistan,875,6,6
29,Chile,746,1,11
30,Thailand,721,1,52
31,Finland,700,1,10
32,Greece,695,17,19
33,Poland,692,8,1
34,Iceland,588,1,51
35,Indonesia,579,49,30
36,Romania,576,6,73
37,Saudi Arabia,511,0,18
38,Singapore,509,2,152
39,Qatar,494,0,33
40,India,468,9,34
41,Philippines,462,33,18
42,Russia,438,0,17
43,Slovenia,414,3,0
44,South Africa,402,0,2
45,Peru,363,5,1
46,Hong Kong,356,4,100
47,Estonia,352,0,4
48,Bahrain,339,2,160
49,Egypt,327,14,56
50,Mexico,316,2,4
51,Croatia,315,0,5
52,Panama,313,3,1
53,Iraq,266,23,62
54,Argentina,266,4,27
55,Lebanon,256,4,8
56,Dominican Republic,245,3,0
57,Colombia,235,2,3
58,Serbia,222,2,2
59,Algeria,201,17,65
60,United Arab Emirates,198,2,38
61,Taiwan,195,2,29
62,Armenia,194,0,2
63,Bulgaria,190,3,3
64,Kuwait,189,0,30
65,Slovakia,185,0,7
66,Latvia,180,0,1
67,San Marino,175,20,4
68,Hungary,167,7,16
69,Uruguay,158,0,0
70,Lithuania,154,1,1
71,North Macedonia,136,2,1
72,Costa Rica,134,2,2
73,Morocco,134,4,3
74,Andorra,133,1,1
75,Bosnia and Herzegovina,128,1,2
76,Viet Nam,123,0,17
77,Jordan,112,0,1
78,Malta,107,0,2
79,Albania,104,4,3
80,New Zealand,102,0,0
81,Burkina Faso,99,4,5
82,Cyprus,95,1,3
83,Moldova,94,1,2
84,Sri lanka,92,0,1
85,Faroe Islands,92,0,0
86,Brunei,91,0,2
87,Belarus,89,0,22
88,Tunisia,89,3,1
89,Cambodia,86,0,2
90,Venezuela,77,0,15
91,Ukraine,73,3,1
92,Azerbaijan,72,1,10
93,Senegal,67,0,5
94,Oman,66,0,17
95,Kazakhstan,62,0,0
96,Georgia,61,0,8
97,Palestine,59,0,17
98,Cameroon,56,0,2
99,Guadeloupe,51,0,0
100,Trinidad and Tobago,50,0,0
101,Reunion,47,0,0
102,Uzbekistan,46,0,0
103,Liechtenstein,46,0,0
104,Afghanistan,40,1,1
105,DR Congo,36,2,0
106,Nigeria,36,1,2
107,Cuba,35,1,0
108,Bangladesh,33,3,3
109,Martinique,32,0,0
110,Kosovo,31,0,0
111,Mauritius,28,2,0
112,Bolivia,27,0,0
113,Honduras,27,0,0
114,Ivory Coast,25,0,1
115,Macau,24,0,10
116,Ghana,24,1,0
117,Monaco,23,0,1
118,Paraguay,22,1,0
119,Montenegro,22,1,0
120,Puerto Rico,21,1,0
121,Guernsey,20,0,0
122,Jamaica,19,1,2
123,Guatemala,19,1,0
124,Rwanda,19,0,0
125,Togo,18,0,0
126,Barbados,17,0,0
127,Jersey,16,0,0
128,Kyrgyzstan,16,0,0
129,Kenya,16,0,0
130,Guam,15,1,0
131,French Guiana,15,0,0
132,French Polynesia,15,0,0
133,Maldives,13,0,3
134,Tanzania,12,0,0
135,Madagascar,12,0,0
136,Mayotte,11,0,0
137,Ethiopia,11,0,0
138,Mongolia,10,0,0
139,Gibraltar,10,0,0
140,Equatorial Guinea,9,0,0
141,Seychelles,7,0,0
142,Suriname,5,0,0
143,Aruba,5,0,0
144,Guyana,5,1,0
145,Isle of Man,5,0,0
146,Gabon,5,1,0
147,Guinea,4,0,1
148,Bahamas,4,0,0
149,Eswatini,4,0,0
150,New Caledonia,4,0,0
151,Namibia,3,0,0
152,El Salvador,3,0,0
153,Liberia,3,0,0
154,Zambia,3,0,0
155,Cape Verde,3,0,0
156,Cayman islands,3,1,0
157,Central African Republic,3,0,0
158,Zimbabwe,3,1,0
159,Republic of the Congo,3,0,0
160,Fiji,3,0,0
161,Niger,2,0,0
162,Bhutan,2,0,0
163,Saint Lucia,2,0,0
164,Sudan,2,1,0
165,Mauritania,2,0,0
166,Haiti,2,0,0
167,Greenland,2,0,0
168,Benin,2,0,0
169,Angola,2,0,0
170,Gambia,2,1,0
171,Bermuda,2,0,0
172,Myanmar,2,0,0
173,Nepal,2,0,1
174,Nicaragua,2,0,0
175,Dominica,1,0,0
176,Djibouti,1,0,0
177,Syria,1,0,0
178,Mozambique,1,0,0
179,Eritrea,1,0,0
180,Chad,1,0,0
181,Belize,1,0,0
182,Antigua and Barbuda,1,0,0
183,Papua New Guinea,1,0,0
184,St. Vincent and the Grenadines,1,0,0
185,Somalia,1,0,0
186,Vatican City,1,0,0
187,Vanuatu,1,0,0
188,Uganda,1,0,0
189,East Timor,1,0,0
190,Grenada,1,0,0
191,Montserrat,1,0,0
