leader,tweets,sentiment
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,We are looking for a huge community effort said a source A source where is the bloody Government What is Mr Johns,negative
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,More Global experts slam the UK government for their approach to Coronavirus The British public deserve to know why Boris,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
Boris Johnson,Latest NHS advice If you have a new continuous cough OR a high temperature You should stay at home for seven days R,positive
